priority,issue_type,surface,id,category,name,current_price,price_list_price,price_list_source,recommended_action,boss_decision,notes
P1,web_price_mismatch,web,iphone-incell-11pro,iphone-incell,Pantalla para iPhone 11 Pro,$200 MXN / $195 MXN / $190 MXN / $190 MXN / $185 MXN,$200 MXN / $190 MXN / $185 MXN / $180 MXN / $175 MXN,p1 r11: 11PRO | INCELL FHD,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,iphone-incell-12promax,iphone-incell,Pantalla para iPhone 12 Pro Max,$220 MXN / $210 MXN / $200 MXN / $195 MXN / $190 MXN,$250 MXN / $240 MXN / $235 MXN / $230 MXN / $220 MXN,p1 r19: 12PRO MAX | INCELL FHD,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,iphone-incell-15plus,iphone-incell,Pantalla para iPhone 15 Plus,$300 MXN / $290 MXN / $285 MXN / $280 MXN / $275 MXN,$330 MXN / $310 MXN / $300 MXN / $290 MXN / $275 MXN,p1 r40: 15 plus | INCELL FHD,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,iphone-incell-16e,iphone-incell,Pantalla para iPhone 16e,$300 MXN / $280 MXN / $275 MXN / $270 MXN / $260 MXN,$400 MXN / $380 MXN / $350 MXN / $330 MXN / $320 MXN,p1 r46: 16E | INCELL FHD,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,iphone-oled-12promax,iphone-oled,Pantalla para iPhone 12 Pro Max,$850 MXN / $830 MXN / $800 MXN / $750 MXN / $730 MXN,$700 MXN / $680 MXN / $650 MXN / $630 MXN / $600 MXN,p1 r20: 12PRO MAX | OLED PREMIUM,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,iphone-oled-13,iphone-oled,Pantalla para iPhone 13,$730 MXN / $720 MXN / $710 MXN / $630 MXN / $600 MXN,$730 MXN / $700 MXN / $680 MXN / $650 MXN / $600 MXN,p1 r23: 13 | OLED PREMIUM,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,iphone-oled-13pro,iphone-oled,Pantalla para iPhone 13 Pro,$800 MXN / $780 MXN / $750 MXN / $730 MXN / $700 MXN,$780 MXN / $760 MXN / $750 MXN / $730 MXN / $700 MXN,p1 r25: 13PRO | OLED PREMIUM,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,iphone-oled-13promax,iphone-oled,Pantalla para iPhone 13 Pro Max,$600 MXN / $590 MXN / $580 MXN / $550 MXN / $535 MXN,$800 MXN / $780 MXN / $760 MXN / $750 MXN / $700 MXN,p1 r27: 13PRO MAX | OLED PREMIUM,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,iphone-oled-16pro,iphone-oled,Pantalla para iPhone 16 Pro,"$1,500 MXN / $1,450 MXN / $1,400 MXN / $1,350 MXN / $1,300 MXN","$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,100 MXN",p1 r50: 16PRO | OLED PREMIUM,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,iphone-oled-16promax-hard,iphone-oled,Pantalla para iPhone 16 Pro Max Hard OLED,"$1,600 MXN / $1,550 MXN / $1,500 MXN / $1,450 MXN / $1,400 MXN","$1,400 MXN / $1,350 MXN / $1,300 MXN / $1,250 MXN / $1,200 MXN",p1 r51: 16 PROMAX | OLED PREMIUM,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,s1-ai-classic,gafas-ai,HAODE AI CLASSIC S1,"$1,500 MXN / $1,200 MXN","$1,500 MXN / $1,300 MXN",p3 r30: Gafas AI S1 | GAFAS AI,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-note-10,samsung-incell,Pantalla para Samsung Note 10,$650 MXN / $600 MXN / $580 MXN / $570 MXN / $550 MXN,$550 MXN / $530 MXN / $520 MXN / $500 MXN / $470 MXN,p2 r43: NOTE 10 | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-note-10-plus,samsung-incell,Pantalla para Samsung Note 10 Plus,$650 MXN / $600 MXN / $580 MXN / $570 MXN / $550 MXN,$550 MXN / $530 MXN / $520 MXN / $500 MXN / $470 MXN,p2 r45: NOTE 10+ | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-note-20-ultra,samsung-incell,Pantalla para Samsung Note 20 Ultra,$800 MXN / $780 MXN / $750 MXN / $700 MXN / $680 MXN,$680 MXN / $670 MXN / $660 MXN / $650 MXN / $640 MXN,p2 r49: NOTE 20 Ultra | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-note-8,samsung-incell,Pantalla para Samsung Note 8,$600 MXN / $570 MXN / $550 MXN / $520 MXN / $500 MXN,$500 MXN / $480 MXN / $470 MXN / $460 MXN / $450 MXN,p2 r41: NOTE 8 | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-note-9,samsung-incell,Pantalla para Samsung Note 9,$600 MXN / $570 MXN / $550 MXN / $520 MXN / $500 MXN,$500 MXN / $480 MXN / $470 MXN / $460 MXN / $450 MXN,p2 r42: NOTE 9 | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s10,samsung-incell,Pantalla para Samsung S10,$500 MXN / $470 MXN / $450 MXN / $410 MXN / $390 MXN,$380 MXN / $370 MXN / $360 MXN / $350 MXN / $340 MXN,p2 r6: S10 | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s10-plus,samsung-incell,Pantalla para Samsung S10 Plus,$500 MXN / $470 MXN / $450 MXN / $410 MXN / $390 MXN,$380 MXN / $370 MXN / $360 MXN / $350 MXN / $400 MXN,p2 r7: S10 PLUS | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s10e,samsung-incell,Pantalla para Samsung S10E,$800 MXN / $780 MXN / $750 MXN / $730 MXN / $700 MXN,$600 MXN / $580 MXN / $570 MXN / $560 MXN / $520 MXN,p2 r8: S10E | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s20-fe,samsung-incell,Pantalla para Samsung S20 FE,$350 MXN / $330 MXN / $320 MXN / $300 MXN / $290 MXN,$350 MXN / $330 MXN / $320 MXN / $310 MXN / $290 MXN,p2 r14: S20FE | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s20-plus,samsung-incell,Pantalla para Samsung S20 Plus,$500 MXN / $480 MXN / $460 MXN / $450 MXN / $440 MXN,$550 MXN / $530 MXN / $520 MXN / $500 MXN / $470 MXN,p2 r12: S20 PLUS | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s21-ultra,samsung-incell,Pantalla para Samsung S21 Ultra,$600 MXN / $550 MXN / $530 MXN / $500 MXN / $480 MXN,$550 MXN / $530 MXN / $510 MXN / $500 MXN / $480 MXN,p2 r19: S21 Ultra | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s22,samsung-incell,Pantalla para Samsung S22,$600 MXN / $550 MXN / $530 MXN / $500 MXN / $480 MXN,$500 MXN / $480 MXN / $470 MXN / $460 MXN / $450 MXN,p2 r22: S22 | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s22-plus,samsung-incell,Pantalla para Samsung S22 Plus,$600 MXN / $570 MXN / $550 MXN / $530 MXN / $500 MXN,$500 MXN / $480 MXN / $470 MXN / $460 MXN / $450 MXN,p2 r23: S22 PLUS | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s22-ultra,samsung-incell,Pantalla para Samsung S22 Ultra,$800 MXN / $750 MXN / $700 MXN / $650 MXN / $600 MXN,$600 MXN / $580 MXN / $570 MXN / $560 MXN / $550 MXN,p2 r25: S22 Ultra | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s23,samsung-incell,Pantalla para Samsung S23,$650 MXN / $630 MXN / $620 MXN / $600 MXN / $580 MXN,$600 MXN / $580 MXN / $570 MXN / $560 MXN / $550 MXN,p2 r28: S23 | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s23-plus,samsung-incell,Pantalla para Samsung S23 Plus,$650 MXN / $630 MXN / $620 MXN / $600 MXN / $580 MXN,$600 MXN / $580 MXN / $570 MXN / $560 MXN / $550 MXN,p2 r29: S23 PLUS | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s23-ultra,samsung-incell,Pantalla para Samsung S23 Ultra,$700 MXN / $680 MXN / $650 MXN / $620 MXN / $600 MXN,$650 MXN / $630 MXN / $620 MXN / $610 MXN / $600 MXN,p2 r31: S23 Ultra | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s24,samsung-incell,Pantalla para Samsung S24,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",$700 MXN / $680 MXN / $670 MXN / $660 MXN / $650 MXN,p2 r34: S24 | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s24-plus,samsung-incell,Pantalla para Samsung S24 Plus,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",$700 MXN / $680 MXN / $670 MXN / $660 MXN / $650 MXN,p2 r35: S24 PLUS | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s24-ultra,samsung-incell,Pantalla para Samsung S24 Ultra,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",$750 MXN / $740 MXN / $730 MXN / $720 MXN / $700 MXN,p2 r36: S24 Ultra | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s8,samsung-incell,Pantalla para Samsung S8,$450 MXN / $430 MXN / $400 MXN / $380 MXN / $360 MXN,$360 MXN / $350 MXN / $340 MXN / $320 MXN / $310 MXN,p2 r2: S8 | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s8-plus,samsung-incell,Pantalla para Samsung S8 Plus,$450 MXN / $430 MXN / $400 MXN / $380 MXN / $360 MXN,$370 MXN / $360 MXN / $350 MXN / $340 MXN / $310 MXN,p2 r3: S8+ | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s9,samsung-incell,Pantalla para Samsung S9,$450 MXN / $430 MXN / $400 MXN / $380 MXN / $370 MXN,$360 MXN / $350 MXN / $340 MXN / $320 MXN / $320 MXN,p2 r4: S9 | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,samsung-incell-s9-plus,samsung-incell,Pantalla para Samsung S9 Plus,$450 MXN / $430 MXN / $400 MXN / $380 MXN / $370 MXN,$370 MXN / $360 MXN / $350 MXN / $340 MXN / $330 MXN,p2 r5: S9 PLUS | INCELL FHD C/M,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,w630-ai-pro,gafas-ai,W630 AI PRO,"$1,900 MXN / $1,600 MXN","$1,900 MXN / $1,700 MXN",p3 r27: Gafas AI W630 | GAFAS AI,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P2,app_no_pdf_match,app,samsung-incell-s20,Pantallas Samsung INCELL,Pantalla para Samsung S20,$500 MXN / $480 MXN,,,确认是否不在当前价格表或匹配名不同,,不自动改价
P2,app_no_pdf_match,app,samsung-oled-note-10-plus,Pantallas Samsung OLED,Pantalla para Samsung Note 10 Plus,"$1,000 MXN / $950 MXN",,,确认是否不在当前价格表或匹配名不同,,不自动改价
P2,pdf_row_not_in_web_or_app,pdf,,iphone,11 Bolsa Protectora INCELL FHD,,$160 MXN / $155 MXN / $150 MXN / $145 MXN / $140 MXN,p1 r9: 11 Bolsa Protectora | INCELL FHD,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,iphone-diagnostica,12MINI DIAGNOTICO HARD OLED,,"$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,050 MXN",p1 r66: 12MINI | DIAGNOTICO HARD OLED,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,iphone,14 SOFT OLED PREMIUM,,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",p1 r30: 14 | SOFT OLED PREMIUM,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,iphone,14 plus SOFT OLED PREMIUM,,"$1,200 MXN / $1,150 MXN / $1,100 MXN / $1,050 MXN / $1,000 MXN",p1 r33: 14 plus | SOFT OLED PREMIUM,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,iphone,15PRO SOFT OLED PREMIUM,,"$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,100 MXN",p1 r42: 15PRO | SOFT OLED PREMIUM,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,iphone-diagnostica,16E DIAGNOTICO SOFT OLED,,"$1,800 MXN / $1,750 MXN / $1,700 MXN / $1,650 MXN / $1,550 MXN",p1 r78: 16E | DIAGNOTICO SOFT OLED,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,iphone,16E OLED PREMIUM,,$750 MXN / $720 MXN / $700 MXN / $670 MXN / $650 MXN,p1 r47: 16E | OLED PREMIUM,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,iphone,17E INCELL FHD,,$850 MXN / $800 MXN / $750 MXN / $700 MXN / $650 MXN,p1 r57: 17E | INCELL FHD,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,samsung,S20 4G INCELL FHD C/M,,$470 MXN / $460 MXN / $450 MXN / $420 MXN / $400 MXN,p2 r10: S20 4G | INCELL FHD C/M,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,samsung,S20 5G INCELL FHD C/M,,$470 MXN / $460 MXN / $450 MXN / $420 MXN / $400 MXN,p2 r11: S20 5G | INCELL FHD C/M,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,iphone,XR Bolsa Protectora INCELL FHD,,$160 MXN / $155 MXN / $150 MXN / $145 MXN / $140 MXN,p1 r7: XR Bolsa Protectora | INCELL FHD,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,samsung,Z FLIP3 INCELL S/M,,"$1,500 MXN / $1,400 MXN / $1,300 MXN / $1,200 MXN / $1,100 MXN",p2 r52: Z FLIP3 | INCELL S/M,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,samsung,Z FLIP4 INCELL S/M,,"$1,500 MXN / $1,400 MXN / $1,300 MXN / $1,200 MXN / $1,100 MXN",p2 r53: Z FLIP4 | INCELL S/M,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,samsung,Z FLIP5 INCELL S/M,,"$1,700 MXN / $1,600 MXN / $1,500 MXN / $1,400 MXN / $1,300 MXN",p2 r54: Z FLIP5 | INCELL S/M,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,pdf_row_not_in_web_or_app,pdf,,samsung,Z FLIP6 INCELL S/M,,"$1,800 MXN / $1,700 MXN / $1,600 MXN / $1,500 MXN / $1,400 MXN",p2 r55: Z FLIP6 | INCELL S/M,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P2,web_no_pdf_match,web,iphone-oled-12mini,iphone-oled,Pantalla para iPhone 12 mini,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,iphone-oled-13mini,iphone-oled,Pantalla para iPhone 13 mini,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,iphone-oled-15plus,iphone-oled,Pantalla para iPhone 15 Plus,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,iphone-oled-16,iphone-oled,Pantalla para iPhone 16,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,iphone-oled-16plus,iphone-oled,Pantalla para iPhone 16 Plus,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-incell-s20,samsung-incell,Pantalla para Samsung S20,$500 MXN / $480 MXN / $460 MXN / $450 MXN / $440 MXN,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-note-10-plus,samsung-oled,Pantalla para Samsung Note 10 Plus,"$1,000 MXN / $950 MXN / $900 MXN / $880 MXN",,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-note-9,samsung-oled,Pantalla para Samsung Note 9,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-s20,samsung-oled,Pantalla para Samsung S20,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-s20-ultra,samsung-oled,Pantalla para Samsung S20 Ultra,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-s21,samsung-oled,Pantalla para Samsung S21,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-s21-plus,samsung-oled,Pantalla para Samsung S21 Plus,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-s22-plus,samsung-oled,Pantalla para Samsung S22 Plus,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-s23-plus,samsung-oled,Pantalla para Samsung S23 Plus,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-s24-plus,samsung-oled,Pantalla para Samsung S24 Plus,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
P2,web_no_pdf_match,web,samsung-oled-s9-plus,samsung-oled,Pantalla para Samsung S9 Plus,Consultar,,,确认是否不在当前价格表或匹配名不同,,不自动改价；必要时人工复核 SKU/型号
